activity_id,activity_title,activity_description,activity_instructions,input_needed,activity_benefit
256,Omgaan met stress,"Advies voor omgaan met stress, tijdens stoppen met roken.","Deze leesoefening heet 'Omgaan met stress'. 🧘
Verlaagt roken stress? Het antwoord op deze vraag is helaas nee. Vaak wordt gedacht dat roken helpt om rustig te worden en stress verlaagt. Direct na het roken kan het inderdaad voelen alsof je stress minder geworden is, maar uiteindelijk zorgt roken juist voor meer stress.

Maar hoe werkt dit precies? In een sigaret zit nicotine. Als je verslaafd bent aan roken, dan vraagt je lichaam regelmatig om nicotine. Wanneer het lichaam te weinig nicotine krijgt, kunnen er ontwenningsverschijnselen ontstaan. Hierdoor kun je je onrustig voelen. Je voelt je weer rustiger als je hebt gerookt, doordat je lichaam weer nicotine heeft gekregen. Het voelt alsof de onrust weg is, maar eigenlijk zijn de ontwenningsverschijnselen weg. Het gevoel van onrust of stress is dus gekomen door het roken. En er is steeds een nieuwe sigaret nodig om weer rustig te worden.
Daarnaast zorgt roken ook voor klachten zoals een verhoogde hartslag, deze klachten geven ook weer een onrustig gevoel.

Wat helpt dan wel tegen stress? Bewegen!🚶 Door te sporten of te bewegen maakt het lichaam een stofje aan waardoor je je goed voelt en stress minder wordt. Ook kan beweging helpen om je hoofd even leeg te maken. Ervaar je onrust of stress? Probeer dan eens een wandeling te maken. Dit kan helpen om je rustiger te voelen. Ook kunnen ontspannende activiteiten helpen. Zo kun je bijvoorbeeld de oefening 'Ontspanning' (nog een keer) doen om te kijken waar jij ontspannen van wordt! Deze oefening is te vinden in de categorie 'Oefeningen met handige tips'. 

Tot slot, mocht je het leuk vinden om bij te houden hoe je je elke dag of week voelt, klik dan in deze app op de knop '+', onderin je telefoonscherm, in het midden.📱 Klik daarna op de knop 'Gevoel' en kies rechts het gezichtje dat het beste past bij hoe je je voelt. Daarna kun je eventueel nog een 'Notitie maken' of klik direct op 'Opslaan'. Als je dit een paar weken doet, zal je waarschijnlijk merken dat je je beter voelt als je langer gestopt bent met roken en genoeg beweegt.

Dit is het einde van de oefening. ",0,"te leren hoe het komt dat roken niet helpt bij stress, en hoe je dan wel met stress om kunt gaan."
37,Je lichaam wordt gezonder,"Informatie over vervelende klachten die je in je lichaam kunt voelen, maar die eigenlijk betekenen dat je gezonder wordt.","Deze oefening heet 'Je lichaam wordt gezonder'.

Je wordt gezonder als je stopt met roken en meer gaat bewegen.🚶🏃 Toch kan het zo zijn dat je klachten in je lichaam voelt. Als je stopt met roken, kan je bijvoorbeeld tijdelijk gaan hoesten of niezen. Dit voelt vervelend. Maar het is juist iets positiefs! Je longen zijn aan het herstellen. En ruimen de stoffen van de sigaret op. Het hoesten en niezen gaat meestal vanzelf over. Maak je je zorgen of hoest je langer dan 6 weken? Ga dan naar de huisarts. 

Stoppen met roken kan er ook voor zorgen dat je even moeilijker poept. Drink veel water. Eet volkorenbrood en fruit.🍎 En beweeg veel. Dat helpt! Het zal weer beter worden. 

Als je meer beweegt, kan je last krijgen van spierpijn. Dit voelt niet fijn. Maar ook dit is juist een goed teken! Het betekent dat je spieren herstellen en aan het groeien zijn. Doordat je spieren groeien, zal het bewegen steeds makkelijker gaan.🏃 Ook zal de spierpijn steeds minder worden. Het blijft natuurlijk belangrijk om het bewegen rustig op te bouwen. 

De klachten die je mogelijk ervaart zijn dus juist positief. Het laat zien dat je lichaam gezonder wordt. Het is goed om hieraan te denken als je je even onprettig voelt. Het laat zien dat je goed bezig bent!💪

Op ikstopnu.nl staat een uitgebreider overzicht van klachten die je kunt voelen als je stopt met roken. Ook staat er een mooie video op met meer uitleg. Klik op de link om de pagina te openen: https://www.ikstopnu.nl/bibliotheek/ontwenningsverschijnselen/#zo-ga-je-om-met-ontwenningsverschijnselen.

Dit is het einde van de oefening.",0,vervelende gevoelens in je lichaam te zien als teken dat je goed bezig bent.
24,Terugdenken aan successen,Denk na over momenten waarop iets goed lukte en hoe dit je nu kan helpen om niet te roken en meer te bewegen.,"Deze oefening heet 'Terugdenken aan successen'. 
Succes komt voor in alle vormen en maten. Maar één ding is zeker: elk succes telt mee! Het is belangrijk om terug te denken aan momenten waarop je succesvol was. Deze momenten laten je zien dat je een doorzetter bent en dat je ook nu je doelen kunt bereiken.💪

Denk daarom eens rustig na over momenten waarop jou iets goed lukte of waar je tevreden over was. Heb je misschien wel eens een wedstrijd gewonnen? Heb je laatst iets lekkers gekookt? Of misschien heb je zelf een kast in elkaar gezet? Pak er pen en papier bij en maak een lijstje met jouw succesmomenten.✍️ Geen succes is te klein om op te schrijven! Neem hier een paar minuten voor voordat je verder gaat. 

Denk nu eens aan wanneer het je lukte om minder te roken of meer te bewegen. Ben je bijvoorbeeld wel eens eerder gestopt met roken of pak je wel eens de fiets in plaats van de auto? Denk hier rustig over na en maak weer een lijstje.✍️ Ook voor stoppen-met-roken en meer bewegen telt elk succes mee! Neem er een paar minuten voor voordat je verder gaat. 

Kijk op je gemak nog eens naar de lijstjes. Probeer te bedenken wat jou heeft geholpen om deze dingen te bereiken. Neem hier je tijd voor. Je kan het zelfs op het lijstje erbij schrijven, zodat je het niet meer vergeet.

Super, je hebt nu 2 lijstjes met overwinningen! 🥇 Deze lijstjes laten zien dat je trots op jezelf mag zijn. Je kunt deze lijstjes ook ergens ophangen of neerleggen in huis, zodat je vaker aan deze successen wordt herinnerd. 

Dit is het einde van de oefening.",1,vertrouwen te krijgen dat het je gaat lukken om te stoppen met roken en meer te bewegen. Net als dat jou al eerder dingen zijn gelukt!
26,Jouw afspraken ,Maak afspraken met jezelf die je helpen om niet te roken en meer te bewegen.,"Deze oefening heet 'Jouw Afspraken'. 
Kies je eigen regels, dat maakt het makkelijker om je eraan te houden. We kijken eerst naar roken. Als je een duidelijke regel voor jezelf hebt, dan helpt dit om te kunnen stoppen met roken. Neem de tijd om een zin te bedenken met een regel die jou helpt. Bijvoorbeeld ""Roken is GEEN optie"" of ""Goede gezondheid - geen gerook"". Pak nu pen en papier en schrijf jouw regel op.✍️ Zet je handtekening er bij om een echte afspraak met jezelf te maken. Lees het nu eens 3 keer hardop voor jezelf voor. Daarna kun je het papier ergens ophangen waar je het vaak zult zien. Je kunt er ook een foto van maken en die instellen als achtergrond op je computer of telefoon. Of je kunt het papier aan iemand anders geven die je kan helpen om je aan jouw regel te houden. 

Nu gaan we kijken naar bewegen, want bewegen kan je helpen bij het stoppen met roken.🚶 Neem weer de tijd om een zin te bedenken met jouw regel die je kan helpen om meer te bewegen. Bijvoorbeeld ""Zeg nee tegen liften - ja tegen trappen"" of ""10 squats - hoe dan ook"" of ""Loop elke dag - weer of geen weer"". Schrijf ook nu weer jouw regel op, zet je handtekening erbij en lees het dan 3 keer hardop voor jezelf voor. Je kunt het papier weer ergens ophangen, een foto ervan instellen als achtergrond op je computer of telefoon, of het papier aan iemand anders geven. Dit helpt je om je aan jouw regel te houden!

Dit is het einde van de oefening.",1,voor jouw doelen te gaan en ze te bereiken.
27,Voordelen van stoppen met roken en meer bewegen ,Bedenk 3 voordelen van stoppen met roken en van meer bewegen.,"Deze oefening heet: 'Voordelen van stoppen met roken en meer bewegen'. ✔️
Stoppen met roken en bewegen hebben veel voordelen. Denk bijvoorbeeld aan een betere conditie, een mooiere huid en een beter humeur. Om te stoppen met roken en meer te bewegen kan het helpen om op te schrijven waarom je dit wilt.✍️ Wat zijn voor jou voordelen van stoppen met roken? En waarom wil je meer bewegen?

Bedenk eerst 3 voordelen van stoppen met roken. Schrijf dit op. Voor ideeën en uitleg over voordelen kun je kijken op https://www.ikstopnu.nl/motivatie/voordelen-van-stoppen-met-roken/. Wanneer je het moeilijk hebt, kan het helpen om terug te denken aan jouw redenen voor het stoppen met roken.

Stoppen met roken wordt vaak makkelijker als je ook meer beweegt. Wat zijn voordelen van meer bewegen? Bedenk 3 voordelen en schrijf ze op. Voor meer uitleg over voordelen kun je (de video) kijken op https://www.ikstopnu.nl/bibliotheek/sporten-helpt-bij-stoppen-met-roken/#ik-wil-meer-bewegen. Deze drie voordelen helpen je herinneren waarom je meer wilt bewegen! Zit het even tegen en heb je geen zin om te bewegen, denk dan aan deze 3 voordelen. 

Tip: Hang de briefjes op een plek waar je ze vaak ziet, bijvoorbeeld op de koelkast. Zo word je elke dag herinnerd aan waarom het belangrijk is om je doelen vol te houden! 💪

Dit is het einde van de oefening.",1,te weten waarom jij wilt stoppen met roken en meer wilt bewegen.
28,Drempels,Bedenk wat jouw drempels zijn en hoe het voor jezelf makkelijker te maken om meer te bewegen en niet te roken. ,"Deze oefening heet 'Drempels'. 
Drempels (obstakels) maken het moeilijk om te sporten of te stoppen met roken. Het is belangrijk om deze drempels weg te nemen, of om een manier te bedenken om er mee om te gaan. Dan wordt het makkelijker om meer te gaan bewegen en te stoppen met roken. 

Eerst wat voorbeelden van drempels voor bewegen. Het kan zijn dat je te weinig tijd hebt om te sporten, of te moe bent aan het eind van de dag. Dit kun je bijvoorbeeld oplossen door thuis gaan sporten, minder lang sporten, of te gaan wandelen in je lunchpauze.🚶 Misschien vind je het lastig dat er anderen bij zijn als je sport. Dan kun je een rustig moment kiezen in de sportschool, of alleen gaan hardlopen.

Dan nu wat voorbeelden van drempels voor het stoppen met roken. Het kan zijn dat het wat eenzaam voelt als je tijdens je lunchpauze niet met collega’s gaat roken. Je zou dan aan kunnen sluiten bij andere collega’s of een wandeling kunnen maken tijdens je pauze. Misschien vind je het moeilijk om niet te roken als je gestrest bent. Ook hierbij zou een wandeling kunnen helpen. Of je kan iets ontspannends gaan doen, zoals schilderen, puzzelen, of een boek lezen. Je zou ook een ontspanningsoefening kunnen doen of met iemand kunnen praten over je stress.

Denk goed na over wat het voor jou moeilijker kan maken om meer te bewegen en niet te roken.💭 Wat zijn jouw drempels? Pak pen en papier en schrijf alles op wat er in je opkomt. Neem hier de tijd voor. Bedenk daarna wat jou zou kunnen helpen om over je drempels te stappen. Neem de tijd en schrijf ook je oplossingen op. ✍️

Dit is het einde van de oefening.",1,je voor te bereiden op lastige situaties.
32,Wedstrijdje in je hoofd,Stel je voor dat je een wedstrijd wint van je sigaret of van je minder gezonde vroegere zelf.,"Deze oefening heet 'Wedstrijdje in je hoofd'. 🏆 
Stoppen met roken en meer bewegen kan soms voelen als een wedstrijd met jezelf. Wat kan helpen is om er ook echt een kleine wedstijd van te maken in je hoofd. 

Laten we dat eens proberen. Doe zo je ogen dicht. Bedenk dan dat je in een boksring aan het vechten bent met je sigaret en dat jij wint. Bedenk hoe jij eruit ziet, hoe jij je voelt en of er nog andere mensen bij zijn. Neem de tijd om hier een helder beeld van te maken in je hoofd.💭 Ben je klaar? Pak dan pen en papier, en omschrijf in een paar woorden of zinnen hoe de situatie eruit zag. ✍️

Is boksen niet passend voor jou? Kies dan een andere sport die beter past bij jou. Je kan bijvoorbeeld ook bedenken dat jij fit, gezond en actief bent en veel sneller rent, fietst of zwemt dan een eerdere versie van jezelf die minder gezond is. 🏊

Dit is het einde van de oefening.",0,vertrouwen te krijgen dat jij de 'wedstrijd' gaat winnen om niet te roken en meer te bewegen.
34,Positieve zinnen,Bedenk positieve zinnen die je tegen jezelf kunt zeggen om je te helpen bij het bereiken van je doelen.,"Deze oefening heet ‘Positieve zinnen’. 
Wat je denkt, kan ervoor zorgen dat je iets wel of niet doet. Een positieve gedachte, zoals ‘Ik denk dat ik kan stoppen met roken’, kan helpen om het vol te houden. 💪 Terwijl een negatieve gedachte, het juist moeilijker kan maken om vol te houden. Het is daarom belangrijk om positieve zinnen tegen jezelf te zeggen. 

Ik wil je vragen om na te denken over positieve zinnen die bij jou passen. 💭 Volg de stappen hieronder: 

1. 	Bedenk 1 of 2 positieve zinnen die je tegen jezelf kunt zeggen en die je helpen bij het bereiken van je doelen. Deze mag je ook opschrijven. ✍️ Bijvoorbeeld: “Ik ben sterk en het gaat mij lukken om niet te roken”.
2. 	Zeg deze zin(en) een aantal keer hardop tegen jezelf. 
3. 	De bovenste stappen kan je ook op andere momenten herhalen. Bijvoorbeeld als je een moeilijk moment hebt. 

Tip: Je kunt de positieve zinnen ook gebruiken in bepaalde situaties. Bijvoorbeeld: “Ik kan naar dit feestje gaan zonder te roken” of “Het gaat mij lukken om vandaag naar de sportles te gaan!”

Het zal in het begin even wennen zijn om hardop tegen jezelf te praten, maar eigenlijk zeggen we de hele dag dingen tegen onszelf zonder dat we het doorhebben. Het is dus helemaal niet zo gek. 

Je zult zien dat dit kan helpen om je doelen te bereiken. 🏆 Je kunt het!

Dit is het einde van de oefening.",0,positieve zinnen te bedenken die je vertrouwen geven dat je kunt stoppen met roken en meer kunt bewegen.
210,Omgeving opnieuw inrichten,Bedenk hoe je jouw omgeving kan inrichten zodat het jou helpt om te stoppen met roken en meer te bewegen.,"Deze oefening heet ""Omgeving opnieuw inrichten'. 
Het aanpassen van je omgeving kan helpen bij het behalen van je beweeg doelen en bij het stoppen met roken. 

Als je meer wilt bewegen kun je bijvoorbeeld jouw sportkleding neerleggen op een opvallende plek (zoals naast je bed). Wanneer je wakker wordt, word je er meteen aan herinnerd om te gaan sporten.🚶 Om ervoor te zorgen dat je minder eet / gezondere hoeveelheid eet, kun je bijvoorbeeld jouw eten wegen of op een kleiner bord leggen.

Je kunt ook aanpassingen doen in jouw omgeving om het stoppen met roken makkelijker te maken. Bijvoorbeeld je sigaretten en asbak weggooien zodat je ze niet elke keer ziet en er niet meer bij kan. Of je kan je kleding, beddengoed en/of gordijnen wassen. Zo verdwijnt de rookgeur en word je minder herinnerd aan roken. Denk na over wat je kunt veranderen in jouw omgeving. Schrijf dit op✍️, bewaar je lijstje op een handige plek en pas komende dagen deze veranderingen toe. Zo help je jezelf een handje!

Dit is het einde van de oefening.",0,je omgeving zo in te richten dat het makkelijker wordt om niet te roken en meer te bewegen.
22,Doe het anders,Bedenk wat je als activiteit kunt doen in plaats van te roken.,"Deze oefening heet 'Doe het anders'. 
Je zult soms zin hebben in een sigaret, maar meestal duurt dit maar een paar minuten. Het is belangrijk om van te voren te bedenken wat je zou kunnen doen als je zin hebt in een sigaret. Deze oefening helpt hierbij. Bedenk hoe je jezelf bezig kunt houden wanneer je zin hebt om te roken, zodat je dan juist NIET gaat roken. Probeer iets te gaan doen wat net zo lang duurt tot de zin om te roken weer weg is. Je kunt bijvoorbeeld je planten water geven, fruit schillen, snijden en opeten, of een kopje thee zetten.🍵

Ook kun je iets sportiefs doen op zo’n moment. Bijvoorbeeld een (klein) rondje lopen of fietsen, een video op YouTube kijken met een (makkelijke) sportieve oefening van een paar minuten, een rek en strek oefening doen of een paar keer de trap op en af lopen.🚶 Op deze manier zit je minder, beweeg je meer én het kan helpen om niet te roken als je zin hebt in een sigaret. 

Maak een lijstje van dingen die je kunt doen in plaats van roken.✍️ Bepaal daarna wat je de volgende keer als eerste zou willen proberen.

Dit is het einde van de oefening.",1,te voorkomen dat je gaat roken.
23,Ontspanning,Leer hoe je kunt ontspannen.,"Deze oefening heet: 'Ontspanning'. 
Zowel stoppen met roken als meer bewegen kan stressvol zijn en je een gespannen gevoel geven. Deze oefening helpt jouw spanning te verlagen. Progressieve spierontspanning is een goede manier om je lichaam te ontspannen. Wanneer we bewust onze spieren aanspannen en daarna ontspannen, helpt dit stress en spanning te verlagen. Je kan deze techniek in veel verschillende situaties toepassen. Bijvoorbeeld wanneer je zin hebt in een sigaret, tijdens een stressvolle werkdag, of na een inspannende work-out. Kijk de volgende video van 5 minuten, hierin word je stap voor stap door de oefening geleid: https://www.youtube.com/watch?v=PG1n-1cAV_0&ab_channel=ZiekenhuisGelderseValleiEde 

Andere opties om stress en spanning te verminderen zijn:
- Meditatie, mindfulness, of andere ademhalingstechnieken.🧘 Eenvoudige video’s hierover zijn te vinden op www.youtube.com. Zoek bijvoorbeeld op ‘5 minuten mindfulness meditatie’ of ‘begeleide beginners ademhalingsoefeningen’ of ‘mindfulness lichaamsscan’. Ook kan je een mindfulness of meditatie app downloaden (bijvoorbeeld de gratis app VGZ Mindfulness coach).
- Tuinieren
- Puzzel maken of een boek lezen
- Knutselen of iets anders creatiefs doen 🎨
- Tijd besteden in de natuur
- Lichte lichamelijke inspanning, zoals yoga, wandelen, of stretchen.
- Of volg een training om stress te verminderen, bijvoorbeeld: https://www.snelbeterinjevel.nl/ 

Bedenk wat jij gaat doen om te ontspannen. 

Dit is het einde van de oefening. ",0,spanning en stress te verlagen.
29,Kies jouw sport of beweging,Hulp bij kiezen welke sport of beweging bij jou past. ,"Deze oefening heet 'Kies jouw sport of beweging'.
Bewegen is heel goed voor je gezondheid. En dit betekent niet dat je na het sporten altijd helemaal uitgeput hoeft te zijn. Het is belangrijker dat je regelmatig beweegt en hier plezier bij hebt.😄

Zoek daarom een activiteit die jij leuk vindt. Als je bijvoorbeeld graag wandelt, fietst, of gaat hardlopen, kun je op het internet mooie routes vinden. Bijvoorbeeld op: 

https://www.wandel.nl 
https://www.fietsnetwerk.nl 
https://runnermaps.nl 
https://www.supportervanallehardlopers.nl/hardloopplanner/start 

Als je liever thuis wat fitness oefeningen doet, kun je bijvoorbeeld eens deze oefeningen bekijken: https://www.hartstichting.nl/gezond-leven/bewegen/7-oefeningen-om-thuis-te-sporten. 💪

Naast fietsen, lopen en fitness zijn er nog veel andere activiteiten om in beweging te komen. Ga maar eens naar https://sport.nl/sportwijzer. Vul de vragen van de sportwijzer in en bekijk welke sporten bij jou passen.✅ Bovendien is het handig om activiteiten af te wisselen. Zo wordt bewegen nooit saai.

Heb je een sport gevonden die jou leuk lijkt? Dan kun je ook kijken op: https://sport.nl/sportclub-overzichtspagina. Hier kun je zien of er een club of vereniging bij je in de buurt zit. Zo kun je niet alleen sporten, maar leer je ook andere mensen kennen. Het is namelijk makkelijker om een sport vol te houden als je gezelschap hebt!

Dit is het einde van de oefening.",0,een sport of manier van bewegen te vinden die jij leuk vindt.
211,Vier je succes,Bedenk hoe je je successen gaat belonen tijdens dit programma. ,"Deze oefening heet 'Vier je succes'. 🎉
Het is belangrijk om jezelf te belonen, want je bent goed bezig! Jezelf belonen helpt om gezonder te blijven leven zoals je nu doet. Daarom wil ik het vandaag hebben over het vieren van succes. Jouw eerste wandeling of eerste rookvrije dag is zeker een beloning waard! Elke stap in de goede richting is namelijk belangrijk. Beloon jezelf daarom voor stappen die je helpen met stoppen met roken en meer bewegen.  

Jezelf belonen kan op verschillende manieren. Denk aan; een goed boek, nieuwe kleren, een dagje weg, een bosje bloemen, of naar de bioscoop gaan. Door te stoppen met roken bespaar je geld, dus dit kun je gebruiken om jezelf te belonen! Een beloning hoeft niet altijd geld te kosten; zo kun je altijd een rondje lopen of even lekker gaan sporten. 

Laten we eens nadenken over jouw succes. Denk na over hoe jij jezelf voor je volgende succes gaat belonen.💭 Welk succes is dat? En hoe beloon je jezelf? Je kunt denken aan de voorbeelden die ik net gaf, maar er zijn natuurlijk nog veel meer beloningen. Heb je iets bedacht? Schrijf dit op een briefje of zet het in de notities van je telefoon.✍️

Heb je geen inspiratie? Gebruik dan de volgende link om een bingokaart te zien: https://www.ikstopnu.nl/bingo/?#spu-form-14345. Op deze bingokaart staan momenten waarop je normaal misschien zou roken. Als het is gelukt om op zo'n moment juist niet te roken, dan kruis je dat moment aan. Bij een volle bingokaart mag je jezelf flink belonen. 

Wees trots op de stappen die je zet en vier jouw volgende succes zoals je net hebt opgeschreven!

Dit is het einde van de oefening.",0,"te vieren wat je al hebt bereikt, zodat je het volhoudt."
212,Positief dagboek,"Schrijf op waar je vandaag dankbaar voor was, blij van werd of iets wat goed ging","Deze oefening heet 'Positief dagboek' en helpt je positief te denken en lekker in je vel te zitten. Denk elke avond, voordat je naar bed gaat, na over de dag die je gehad hebt. Schrijf 2 of 3 dingen op die zijn gebeurd waar je dankbaar voor bent, blij van werd of iets wat goed ging. ✍️

Bijvoorbeeld; 'Iemand lachte naar mij in de supermarkt', 'Ik heb vandaag niet gerookt', 'Ik heb een mooie wandeling gemaakt met een vriend'. Het opschrijven van deze positieve momenten kan helpen om je beter te voelen, over jezelf maar ook over je dag. Je kunt van alles opschrijven! Het hoeft niet te gaan over meer bewegen of stoppen met roken, maar mogen alle leuke momenten van de dag zijn. Groot of klein. Zo ga je met een blij gevoel naar bed! 😄

Wil je ook bijhouden hoe je je elke dag of week voelt? Klik dan in deze app op de knop '+', onderin je telefoonscherm, in het midden. Klik daarna op de knop 'Gevoel' en kies rechts het gezichtje dat het beste past bij hoe je je voelt. Daarna kun je eventueel nog een 'Notitie maken' of klik direct op 'Opslaan'. Als je dit een paar weken doet, zal je waarschijnlijk merken dat je je beter voelt als je langer gestopt bent met roken en genoeg beweegt. 🚶

Dit is het einde van de oefening.",0,je goed te voelen over jezelf en over hoe de dag was.
39,Beloning voor afronding Perfect Fit programma,Denk alvast na over hoe je jezelf kunt belonen aan het einde van het Perfect Fit programma.,"Deze oefening heet ‘Beloning voor afronding van het Perfect Fit programma’. 🏆

Door te stoppen met roken en meer te bewegen werk je hard aan een betere gezondheid. Aan het einde van dit programma hoort dan ook een beloning! Nu al nadenken over een beloning kan je helpen om vol te houden.💪 En geeft je motivatie op momenten dat je het moeilijk hebt. 

Jezelf belonen kan op verschillende manieren. Zo kan je iets kopen wat je graag wilt hebben of een leuk dagje uit gaan. Door te stoppen met roken kan je veel geld besparen. Dit geld kan je mooi gebruiken voor de beloning door het opzij te zetten of in een spaarpotje te doen.💰 Je zou ook een digitaal spaarpotje kunnen maken op je internetbankieren app. Op de website van je bank staat uitgelegd hoe je dit kunt doen.

Je zou jezelf ook kunnen belonen met bijvoorbeeld een nieuwe fiets of mooie hardloopschoenen. Of trakteer jezelf op een les van een sport die je altijd nog eens hebt willen doen. Deze ideeën kunnen het bewegen nog leuker maken. 

Denk eens na over hoe jij jezelf wilt belonen aan het einde van dit Perfect Fit programma.💭 Waar word je blij van? Wat geeft jou motivatie? Schrijf je ideeën op een lijstje en kies een mooie beloning uit.✍️ Je verdient het!  

Kijk ook eens naar de rekenhulp van ikstopnu.nl. Hiermee kan je uitrekenen hoeveel geld je hebt bespaard en nog gaat besparen. Ook staan hier leuke ideeën bij wat je met dit geld kan doen. Klik op de link om de rekenhulp te openen: https://www.ikstopnu.nl/motivatie/bereken-wat-je-bespaart/.

Dit is het einde van de oefening.",1,"een mooie beloning te bedenken voor als je klaar bent met Perfect Fit, want dat helpt om het vol te houden."
